gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,TotalEngagement
1,4,4,2,1,0,7,0,0,15,16,2,20,1,1,1,2,53
1,4,4,2,1,0,7,0,0,20,20,3,25,1,1,1,2,68
1,4,4,2,1,0,7,0,0,10,7,0,30,0,0,0,1,47
1,4,4,2,1,0,7,0,0,30,25,5,35,0,0,0,1,95
1,4,4,2,1,0,7,0,0,40,50,12,50,0,0,0,2,152
0,4,4,2,1,0,7,0,0,42,30,13,70,1,0,0,2,155
1,4,4,1,4,0,8,0,0,35,12,0,17,0,0,0,1,64
1,4,4,1,4,0,8,0,0,50,10,15,22,1,1,1,2,97
0,4,4,1,4,0,8,0,0,12,21,16,50,1,1,1,2,99
0,4,4,1,4,1,7,0,0,70,80,25,70,1,1,1,2,245
1,4,4,1,4,0,8,0,0,50,88,30,80,1,1,1,0,248
1,4,4,1,4,1,8,0,0,19,6,19,12,1,1,1,2,56
1,4,4,2,1,0,7,0,0,5,1,0,11,0,0,0,1,17
1,5,5,1,5,0,8,0,0,20,14,12,19,0,0,0,1,65
0,4,4,1,5,0,8,0,1,62,70,44,60,0,0,0,0,236
0,4,4,1,3,0,7,0,0,30,40,22,66,1,1,1,2,158
1,4,4,1,4,1,7,0,0,36,30,20,80,0,0,0,2,166
1,4,4,1,4,0,8,0,0,55,13,35,90,0,0,0,2,193
0,4,4,1,4,0,7,0,1,69,15,36,96,1,1,1,2,216
1,4,4,1,4,1,7,0,1,70,50,40,99,1,1,1,0,259
0,4,4,1,4,0,7,0,0,60,60,33,90,0,0,0,2,243
0,4,4,1,4,1,7,0,0,10,12,4,80,0,0,1,2,106
1,4,4,1,4,0,7,0,0,15,21,2,90,0,0,1,2,128
1,4,4,1,4,0,7,0,0,2,0,2,50,0,0,0,1,54
1,4,4,1,4,1,7,0,0,0,2,3,70,1,1,0,1,75
1,4,4,1,4,0,7,0,0,8,7,30,40,1,1,0,1,85
1,4,4,1,4,1,7,0,0,19,19,25,40,1,0,1,2,103
1,4,4,1,5,0,0,0,0,25,15,12,33,0,0,0,1,85
1,4,4,1,5,0,10,0,0,75,85,52,43,1,1,1,2,255
0,4,4,1,5,0,0,0,0,30,90,33,35,0,0,1,2,188
0,4,4,1,5,0,0,0,0,35,80,50,70,1,1,1,0,235
1,4,4,1,4,0,7,0,0,4,5,40,16,1,1,0,1,65
0,4,4,2,4,0,7,0,0,2,19,10,50,1,1,0,1,81
1,4,4,2,2,0,3,0,0,8,22,9,40,0,0,0,1,79
1,4,4,1,4,1,10,0,0,12,11,8,40,0,0,0,1,71
1,4,4,1,4,0,3,0,0,10,12,17,30,0,0,0,1,69
1,4,4,1,4,1,10,0,1,8,6,4,22,1,1,0,1,40
0,0,0,1,4,0,7,0,0,45,54,26,90,1,1,1,2,215
1,4,4,1,3,0,7,0,0,0,0,0,4,0,0,0,1,4
0,9,9,1,4,1,10,0,0,50,90,37,70,1,1,1,2,247
0,4,4,1,4,0,7,0,0,14,13,3,70,0,0,0,1,100
1,4,4,1,4,0,7,0,0,19,20,16,50,0,1,1,2,105
1,4,4,0,6,0,7,0,0,10,12,7,33,1,1,0,1,62
0,4,4,0,6,0,7,0,0,30,35,28,90,1,1,1,2,183
0,4,4,0,6,0,7,0,0,33,33,30,90,0,0,1,2,186
1,4,4,1,4,0,9,0,0,20,12,15,70,0,1,0,1,117
1,4,4,2,2,0,3,0,0,7,10,1,30,0,0,0,1,48
0,4,4,0,9,0,3,0,1,70,4,39,90,1,1,1,0,203
0,4,4,0,9,0,3,0,1,13,80,40,88,1,1,1,0,221
0,4,4,0,9,0,3,0,0,29,39,50,77,1,1,1,2,195
0,4,4,0,9,0,3,0,0,20,14,12,70,0,0,0,1,116
1,4,4,0,9,0,3,0,0,39,15,16,50,0,1,0,1,120
0,4,4,0,9,0,3,0,0,55,90,16,40,0,0,1,2,201
0,4,4,0,8,0,10,0,1,49,70,19,75,1,1,1,0,213
1,4,4,0,9,0,3,0,1,12,50,8,30,0,0,0,1,100
1,4,4,1,4,0,8,0,0,16,14,6,20,1,1,0,1,56
1,12,12,1,5,1,8,0,0,19,5,4,1,1,1,0,1,29
1,4,4,1,4,0,8,0,0,5,2,6,5,1,1,0,1,18
1,4,4,1,4,0,8,0,0,28,60,19,50,1,1,1,2,157
0,12,12,1,4,0,8,0,0,27,22,22,40,0,1,1,2,111
0,3,3,2,2,0,3,0,1,21,10,28,20,0,1,0,1,79
1,4,4,0,7,0,7,0,0,50,70,32,40,1,1,1,2,192
1,13,13,0,7,0,7,0,1,80,90,70,80,1,1,1,0,320
1,4,4,0,7,0,7,0,0,17,13,16,12,1,0,1,2,58
1,4,4,0,7,0,7,0,0,0,5,7,2,0,0,0,1,14
1,4,4,0,9,0,3,0,0,13,5,18,19,0,0,0,1,55
0,4,4,0,9,0,3,0,0,25,10,19,30,0,0,0,2,84
0,12,12,0,9,0,3,0,1,65,75,23,80,1,1,1,0,243
0,12,12,0,9,0,7,0,1,70,69,35,30,1,1,1,0,204
1,3,3,1,4,0,7,0,0,39,40,11,33,0,0,1,2,123
1,3,3,1,4,0,7,0,0,22,30,10,12,1,1,0,1,74
1,4,4,1,4,0,7,0,0,29,22,9,20,1,1,1,2,80
1,4,4,1,4,0,8,0,0,11,2,2,8,0,0,1,1,23
0,4,4,1,4,0,3,0,0,19,30,26,19,1,0,0,2,94
1,4,4,1,4,1,7,0,0,12,0,6,13,0,0,1,1,31
1,3,3,1,4,0,9,0,1,50,90,29,60,1,1,1,2,229
1,1,1,0,6,0,7,0,1,15,70,37,44,1,1,1,2,166
1,4,4,0,6,0,7,0,0,20,80,33,33,1,1,1,2,166
1,4,4,0,8,0,9,0,0,13,3,11,9,0,0,0,1,36
0,5,5,1,4,1,8,0,1,80,90,49,55,1,0,1,0,274
1,4,4,1,4,0,8,0,0,8,15,10,40,1,0,1,1,73
1,4,4,2,0,0,7,0,0,8,25,1,70,0,0,0,1,104
1,4,4,2,0,1,7,0,0,7,5,2,80,1,1,0,1,94
1,4,4,2,0,1,7,0,0,7,4,10,50,0,1,0,2,71
1,4,4,2,0,1,7,0,0,50,70,50,10,1,1,0,0,180
1,4,4,2,0,1,7,0,0,1,0,1,12,0,0,0,1,14
1,9,9,2,0,1,7,0,0,70,12,40,50,1,1,1,0,172
1,4,4,2,0,1,7,0,0,19,70,3,50,0,0,1,1,142
0,4,4,2,0,1,7,0,0,3,12,4,33,0,0,1,1,52
1,4,4,2,0,1,7,0,0,5,20,1,50,1,1,0,1,76
1,4,4,2,0,1,7,0,0,4,8,10,60,1,1,0,1,82
1,4,4,2,0,1,7,0,0,80,90,55,19,1,1,1,0,244
0,4,4,2,0,1,7,0,0,50,70,19,15,1,1,1,0,154
1,12,12,2,0,1,7,0,0,55,89,40,40,1,1,1,0,224
0,4,4,2,0,1,7,0,0,80,44,35,10,0,1,0,1,169
0,4,4,2,0,1,7,0,0,100,80,2,70,0,0,1,0,252
0,4,4,2,0,2,7,0,0,14,60,11,75,1,1,1,0,160
0,4,4,2,0,1,7,0,0,6,2,38,12,0,0,1,2,58
0,4,4,2,0,2,7,0,0,10,3,0,30,0,0,1,2,43
1,4,4,2,0,1,7,0,0,50,7,9,50,1,0,0,2,116
1,4,4,2,0,1,7,0,0,50,90,40,90,1,0,1,2,270
0,4,4,2,0,1,7,0,1,70,92,50,7,1,1,1,0,219
0,4,4,2,0,1,7,0,0,2,6,2,8,0,0,0,1,18
1,4,4,2,0,1,7,0,0,1,7,6,10,0,0,0,1,24
1,4,4,2,0,1,7,0,0,0,12,3,3,1,1,0,2,18
0,4,4,2,0,1,7,0,0,0,0,5,80,1,1,0,1,85
0,4,4,2,0,1,7,0,0,12,26,7,40,1,1,1,2,85
1,4,4,2,0,1,7,0,0,70,90,41,33,1,0,1,0,234
1,9,9,2,0,1,7,0,0,7,12,5,3,0,0,0,2,27
1,4,4,2,0,1,7,0,0,90,70,30,14,0,0,1,2,204
0,3,3,2,0,1,7,0,1,70,88,55,40,1,1,1,0,253
1,4,4,2,0,2,7,0,0,77,80,51,80,0,1,1,2,288
1,4,4,2,0,1,7,0,0,2,5,3,50,0,0,0,1,60
1,4,4,2,0,1,7,0,0,25,27,0,69,0,0,0,1,121
1,4,4,2,0,1,7,0,0,11,2,0,50,0,0,0,1,63
1,4,4,2,0,1,7,0,0,0,8,11,70,1,1,0,1,89
0,4,4,2,0,2,7,0,1,77,80,12,19,1,1,0,2,188
0,4,4,2,0,2,7,0,1,25,29,40,17,0,1,1,0,111
0,4,4,2,0,2,7,0,1,24,35,23,22,1,1,0,2,104
1,4,4,2,0,2,7,0,0,60,60,3,60,0,0,1,2,183
1,4,4,2,0,2,7,0,1,21,12,0,50,1,1,1,2,83
1,4,4,2,0,2,7,0,1,0,4,8,30,0,0,0,1,42
0,4,4,2,0,1,7,0,0,66,90,55,12,1,1,0,2,223
0,5,5,2,0,1,7,0,0,70,98,7,5,1,1,1,2,180
1,4,4,2,0,2,7,0,0,0,6,4,15,1,0,1,1,25
1,4,4,2,0,1,7,0,0,12,30,0,17,0,1,0,1,59
0,1,1,2,0,2,7,0,0,2,9,7,55,1,1,1,2,73
1,4,4,2,0,1,7,0,0,55,33,6,9,0,0,0,1,103
1,4,4,2,0,2,7,0,0,12,10,20,16,0,0,1,1,58
1,4,4,2,0,1,7,0,0,70,90,2,2,1,1,1,1,164
0,4,4,2,0,2,7,0,0,7,9,5,30,0,0,0,1,51
1,3,3,2,0,2,7,0,0,80,42,20,50,1,1,1,2,192
1,4,4,2,0,2,7,1,0,0,3,10,3,0,0,0,1,16
1,4,4,2,0,0,7,1,0,12,60,0,70,1,1,0,1,142
1,4,4,1,4,0,9,1,0,80,80,15,70,1,1,1,0,245
0,0,0,1,4,0,9,1,1,70,80,95,70,1,1,1,0,315
0,4,12,0,8,0,9,1,1,70,80,95,70,1,1,1,0,315
0,4,12,0,8,0,9,0,1,60,80,50,40,0,0,1,2,230
0,3,0,1,4,0,9,0,1,100,80,95,90,0,0,1,0,365
1,3,12,1,4,0,9,0,1,100,85,85,70,0,0,1,2,340
1,11,11,1,4,0,9,0,0,10,60,5,20,1,0,0,1,95
1,11,11,1,4,0,9,1,0,19,65,50,10,0,0,0,1,144
1,11,11,1,4,0,9,1,0,10,75,55,11,1,1,1,2,151
1,4,4,1,4,0,9,1,0,80,90,55,19,1,1,1,0,244
1,4,4,1,4,0,9,1,0,10,10,15,19,0,0,0,1,54
1,11,9,1,4,0,9,1,0,70,75,55,11,1,0,1,2,211
0,5,5,1,4,0,9,1,1,100,75,50,70,1,1,1,0,295
0,5,5,1,4,0,9,1,0,10,79,30,30,0,0,1,2,149
0,3,3,1,4,0,9,1,0,60,55,30,40,0,0,1,2,185
0,3,5,1,4,0,9,1,1,100,75,50,70,1,0,1,0,295
1,9,9,0,8,0,9,1,0,80,80,51,59,1,1,1,0,270
1,9,12,0,8,0,10,1,0,23,63,71,89,1,1,1,2,246
0,9,12,0,8,1,10,1,0,100,91,98,40,1,0,1,0,329
1,9,12,0,8,1,11,1,0,10,51,40,40,0,0,0,1,141
1,9,12,0,8,1,3,1,0,70,50,33,41,0,0,0,2,194
1,9,12,0,8,1,8,1,0,70,58,73,91,1,0,1,0,292
0,11,12,0,8,1,4,1,0,70,50,30,49,1,1,1,2,199
1,11,11,0,8,1,10,1,0,70,50,33,40,0,1,1,2,193
1,11,4,1,4,1,10,1,0,22,51,48,10,0,0,0,1,131
0,4,4,1,4,1,10,1,0,62,68,48,80,1,1,1,2,258
0,3,3,1,4,1,10,1,1,82,89,58,50,1,1,1,0,279
1,3,3,1,4,1,10,1,1,72,80,58,66,0,0,1,2,276
0,3,3,2,0,1,4,1,1,70,82,3,73,0,0,1,0,228
0,3,12,2,0,1,4,1,1,60,82,93,43,0,0,0,2,278
1,3,3,2,0,1,4,1,1,55,72,83,14,1,1,0,2,224
0,7,7,2,0,1,4,1,1,72,65,73,66,1,1,1,0,276
1,4,4,2,0,1,4,1,1,51,82,53,43,0,0,1,2,229
1,11,11,2,0,1,4,1,1,80,92,83,43,1,1,1,0,298
1,4,4,2,0,1,4,1,1,60,52,23,33,1,1,1,0,168
1,4,4,2,0,1,4,1,1,30,12,29,23,0,0,1,2,94
1,4,4,2,0,1,4,1,0,40,62,83,33,1,1,1,0,218
1,4,4,2,0,1,4,1,1,60,52,23,33,0,1,1,2,168
1,1,1,2,0,1,4,1,1,20,22,53,13,0,1,0,1,108
1,10,10,2,0,1,4,1,1,20,52,23,33,1,1,0,1,128
0,3,3,2,0,1,4,1,0,50,62,73,43,1,0,0,2,228
1,1,1,2,0,1,4,1,0,10,2,13,53,0,0,0,1,78
1,11,11,2,0,1,4,1,1,60,52,23,33,1,0,1,0,168
0,12,12,2,0,1,4,1,1,15,52,83,11,1,0,1,2,161
0,5,5,2,0,1,4,1,1,80,42,33,13,1,0,1,0,168
1,5,5,2,0,1,4,1,1,40,51,20,33,0,0,1,2,144
0,9,9,2,0,1,4,1,0,60,70,63,93,1,0,1,0,286
1,3,3,2,0,1,4,1,0,50,62,13,33,0,0,0,1,158
1,4,4,1,5,0,0,1,1,85,75,62,53,1,0,1,0,275
0,5,5,1,5,0,0,1,0,25,15,32,53,0,0,1,2,125
1,5,5,1,5,0,0,1,1,10,35,30,13,0,0,0,1,88
1,5,3,1,5,0,0,1,1,87,65,82,33,1,1,1,0,267
1,4,4,1,5,0,0,1,1,85,15,22,53,1,1,1,2,175
0,4,4,1,5,0,0,1,0,80,71,52,51,1,1,1,2,254
1,4,4,1,5,0,0,1,1,75,71,72,53,1,1,1,0,271
0,4,4,1,5,0,0,1,0,85,66,12,23,0,0,1,2,186
1,4,4,1,5,0,0,1,0,23,25,32,53,0,0,1,1,133
1,4,4,1,5,0,0,1,0,15,25,37,13,1,1,0,1,90
1,4,4,1,5,0,0,1,1,95,91,62,53,1,1,1,2,301
1,7,7,1,5,0,0,1,1,81,75,62,53,0,0,1,2,271
1,7,7,1,5,0,0,1,1,53,75,72,23,0,0,1,2,223
1,4,4,1,5,0,0,1,0,15,43,42,33,1,1,1,2,133
1,4,4,1,5,0,0,1,1,92,65,62,53,1,1,1,0,272
1,4,4,1,5,0,0,1,1,83,75,62,53,0,0,1,0,273
